k,Metric,TextSimMeasure,trainSetSize,accuracy,precision_for_classification,recall_for_classification,f1score_for_classification,westgermany_precision,westgermany_recall,westgermany_f1score,usa_precision,usa_recall,usa_f1score,france_precision,france_recall,france_f1score,uk_precision,uk_recall,uk_f1score,canada_precision,canada_recall,canada_f1score,japan_precision,japan_recall,japan_f1score,
4,ChebyshevMetric,TFM,0.4,0.7816666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.9406438631790744,0.8267020335985853,0.8799999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.03225806451612903,0.06521739130434782,0.04316546762589928,0.0,0.0,0.0,
4,ChebyshevMetric,TFM,0.3,0.79,0.0,0.0,0.0,0.0,0.0,0.0,0.9466437177280551,0.8308157099697885,0.8849557522123893,0.0,0.0,0.0,0.0,0.0,0.0,0.04504504504504504,0.09803921568627451,0.0617283950617284,0.04,0.3333333333333333,0.07142857142857142,
6,ChebyshevMetric,TFM,0.7,0.82,0.0,0.0,0.0,0.0,0.0,0.0,0.9939393939393939,0.825503355704698,0.9019248395967003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
6,ChebyshevMetric,TFM,0.6,0.8325,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8335419274092616,0.9092150170648464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
6,ChebyshevMetric,TFM,0.5,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.9803439803439803,0.8126272912423625,0.8886414253897551,0.0,0.0,0.0,0.0,0.0,0.0,0.02531645569620253,0.1111111111111111,0.041237113402061855,0.0,0.0,0.0,
6,ChebyshevMetric,TFM,0.4,0.8133333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.9838709677419355,0.8264182895850973,0.8982972848596411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
6,ChebyshevMetric,TFM,0.3,0.8157142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.9930434782608696,0.8227665706051873,0.8999211977935382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
8,ChebyshevMetric,TFM,0.7,0.83,0.0,0.0,0.0,0.0,0.0,0.0,0.9920318725099602,0.8355704697986577,0.9071038251366119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
8,ChebyshevMetric,TFM,0.6,0.82625,0.16666666666666666,0.13770833333333335,0.1508099475245266,0.0,0.0,0.0,1.0,0.82625,0.9048596851471595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
8,ChebyshevMetric,TFM,0.5,0.833,0.0,0.0,0.0,0.0,0.0,0.0,0.9964114832535885,0.835506519558676,0.9088925259138025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
8,ChebyshevMetric,TFM,0.4,0.8216666666666667,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8223519599666389,0.9025171624713959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
8,ChebyshevMetric,TFM,0.3,0.8385714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.9932260795935648,0.8438848920863309,0.912485414235706,0.0,0.0,0.0,0.0,0.0,0.0,0.010526315789473684,0.1,0.019047619047619046,0.0,0.0,0.0,
10,ChebyshevMetric,TFM,0.7,0.8416666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.9940944881889764,0.8458961474036851,0.914027149321267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
10,ChebyshevMetric,TFM,0.6,0.825,0.16666666666666666,0.13749999999999998,0.1506849315068493,0.0,0.0,0.0,1.0,0.825,0.9041095890410958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
10,ChebyshevMetric,TFM,0.5,0.826,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8268268268268268,0.9052054794520548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
10,ChebyshevMetric,TFM,0.4,0.8225,0.16666666666666666,0.13708333333333333,0.15043438500228623,0.0,0.0,0.0,1.0,0.8225,0.9026063100137174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
10,ChebyshevMetric,TFM,0.3,0.8321428571428572,0.16666666666666666,0.1386904761904762,0.15139701104613384,0.0,0.0,0.0,1.0,0.8321428571428572,0.9083820662768031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
12,ChebyshevMetric,TFM,0.7,0.8116666666666666,0.16666666666666666,0.13527777777777777,0.14934069303894512,0.0,0.0,0.0,1.0,0.8116666666666666,0.8960441582336707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
12,ChebyshevMetric,TFM,0.6,0.81375,0.16666666666666666,0.135625,0.14955203308063406,0.0,0.0,0.0,1.0,0.81375,0.8973121984838043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
12,ChebyshevMetric,TFM,0.5,0.831,0.16666666666666666,0.13849999999999998,0.1512834516657564,0.0,0.0,0.0,1.0,0.831,0.9077007099945384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
12,ChebyshevMetric,TFM,0.4,0.8291666666666667,0.16666666666666666,0.13819444444444445,0.1511009870918755,0.0,0.0,0.0,1.0,0.8291666666666667,0.9066059225512529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
12,ChebyshevMetric,TFM,0.3,0.83,0.16666666666666666,0.13833333333333334,0.151183970856102,0.0,0.0,0.0,1.0,0.83,0.9071038251366119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
